iteration,norm,alpha,lam,rms,timestamp
24574,1.3333333333333333,0.012,0.0145,4.382557275658256,15-02-2017 00:28:08
28628,1.3333333333333333,0.012,0.345,4.3827088105434795,15-02-2017 00:29:13
28789,1.3333333333333333,0.012,0.645,4.383081427197083,15-02-2017 00:29:43
20928,1.3333333333333333,0.012,0.00145,4.382557006605981,15-02-2017 00:30:11
18423,1.3333333333333333,0.012,0.000145,4.382557003911443,15-02-2017 00:30:33
1240,1.3333333333333333,0.22,0.000145,4.382557003906919,15-02-2017 00:30:48
1140,1.3333333333333333,0.22,0.000145,4.708434602012189,15-02-2017 00:31:24
1140,1.3333333333333333,0.22,0.000145,4.708434602012189,15-02-2017 00:32:25
1330,1.3333333333333333,0.22,0.000145,4.461478647242047,15-02-2017 00:32:44
1330,1.3333333333333333,0.22,0.000145,4.461478647242047,15-02-2017 00:34:06
1148,1.3333333333333333,0.22,0.000145,4.473842938846974,15-02-2017 00:34:14
1148,1.1428571428571428,0.22,0.000145,4.473842938846974,15-02-2017 00:35:28
1148,1.3333333333333333,0.22,0.000145,4.473842938846974,15-02-2017 00:35:34
99999,1.1428571428571428,0.22,0.000145,4.473842938846769,15-02-2017 00:43:21
99999,1.1428571428571428,0.22,0.3145,4.473944402804476,15-02-2017 00:44:10
99999,1.1428571428571428,0.22,0.3145,4.473944402804476,15-02-2017 00:44:37
1655,1.1428571428571428,0.22,0.3145,4.4739444028047775,15-02-2017 00:45:45
1830,1.1428571428571428,0.22,0.3145,4.473944402804504,15-02-2017 00:46:07
1830,1.3333333333333333,0.22,0.3145,4.473944402804504,15-02-2017 00:46:16
1855,1.1428571428571428,0.22,0.3145,4.473944402804495,15-02-2017 00:47:42
1651,1.1428571428571428,0.22,0.3145,4.473944402804756,15-02-2017 00:49:15
282304,1.1428571428571428,0.001,1,4.474847766756756,15-02-2017 01:03:29
1771,1.1428571428571428,0.21,1,4.474847766684748,15-02-2017 01:06:43
1639,1.1428571428571428,0.21,3,4.482414509743498,15-02-2017 01:06:53
272,1.1428571428571428,0.21,-0.5,4.474048046529274,15-02-2017 01:07:07
310,1.1428571428571428,0.21,-0.3,4.473916667633129,15-02-2017 01:07:17
392,1.1428571428571428,0.21,-0.1,4.473851117240631,15-02-2017 01:07:38
224,1.1428571428571428,0.21,-1,4.4746664362648865,15-02-2017 01:07:52
224,1.1428571428571428,0.21,-1,4.4746664362648865,15-02-2017 01:08:08
252,1.1428571428571428,0.21,-0.67,4.474211728674255,15-02-2017 01:08:19
310,1.1428571428571428,0.21,-0.3,4.473916667633129,15-02-2017 01:08:28
484,1.1428571428571428,0.21,-0.03,4.473843674428954,15-02-2017 01:08:51
577,1.1428571428571428,0.21,-0.009,4.4738430050171445,15-02-2017 01:09:04
577,1.3333333333333333,0.21,-0.009,4.4738430050171445,15-02-2017 01:09:16
577,1.3333333333333333,0.21,-0.009,4.4738430050171445,15-02-2017 01:09:26
177,1.3333333333333333,0.21,-2,4.477158847788979,15-02-2017 01:12:03
177,1.3333333333333333,0.21,-2,4.477158847788979,15-02-2017 01:12:13
120,1.3333333333333333,0.21,-5,4.4949239715586184,15-02-2017 01:12:23
120,1.3333333333333333,0.21,-5,4.4949239715586184,15-02-2017 01:12:25
1731,1.3333333333333333,0.21,0.3,4.473935304271142,15-02-2017 01:26:42
1731,1.3333333333333333,0.21,0.3,4.473935304271142,15-02-2017 01:29:27
1731,1.3333333333333333,0.21,0.3,4.473935304271142,15-02-2017 01:30:47
91536,1.3333333333333333,0.0031,0.2,4.4738841191491465,15-02-2017 01:31:30
91536,1.3333333333333333,0.0031,0.2,4.4738841191491465,15-02-2017 01:32:23
91855,1.3333333333333333,0.0031,0.2,4.473884119146459,15-02-2017 01:34:12
91855,1.3333333333333333,0.0031,0.2,4.473884119146459,15-02-2017 01:43:03
30913,1.3333333333333333,0.01,0.2,4.473884119123206,15-02-2017 01:43:36
30913,1.3333333333333333,0.01,0.2,4.473884119123206,15-02-2017 01:53:04
30913,1.3333333333333333,0.01,0.2,4.473884119123206,15-02-2017 01:54:01
30913,1.3333333333333333,0.01,0.2,4.473884119123206,15-02-2017 01:54:34
1778,1.3333333333333333,0.2,0.2,4.473884119116918,15-02-2017 01:59:41
1839,1.3333333333333333,0.2,0.31,4.473941533829553,15-02-2017 02:09:39
